-42.4264 -3.33067e-16
-39.598 0.437036
-36.7695 0.865242
-33.9411 1.28462
-31.1127 1.69517
-28.2843 2.09689
-25.4558 2.48978
-22.6274 2.87384
-19.799 3.24907
-16.9705 3.61548
-14.1421 3.97305
-11.3137 4.3218
-8.48527 4.66171
-5.65684 4.9928
-2.82841 5.31506
1.226e-05 5.62849
2.82844 5.93309
5.65687 6.22886
8.48529 6.5158
11.3137 6.79392
14.1421 7.0632
16.9706 7.32366
19.799 7.57528
22.6274 7.81808
25.4559 8.05205
28.2843 8.27719
31.1127 8.4935
33.9411 8.70098
36.7696 8.89963
39.598 9.08946
42.4264 9.27045
45.2548 9.44262
48.0833 9.60595
50.9117 9.76046
53.7401 9.90614
56.5686 10.043
59.397 10.171
62.2254 10.2902
65.0538 10.4006
67.8823 10.5021
70.7107 10.5948
73.5391 10.6787
76.3675 10.7537
79.196 10.8199
82.0244 10.8773
84.8528 10.9259
87.6812 10.9656
90.5097 10.9965
93.3381 11.0186
96.1665 11.0318
98.995 11.0363
101.823 11.0318
104.652 11.0186
107.48 10.9965
110.309 10.9656
113.137 10.9259
115.966 10.8773
118.794 10.8199
121.622 10.7537
124.451 10.6787
127.279 10.5948
130.108 10.5021
132.936 10.4006
135.765 10.2902
138.593 10.171
141.421 10.043
144.25 9.90614
147.078 9.76046
149.907 9.60595
152.735 9.44262
155.563 9.27045
158.392 9.08946
161.22 8.89963
164.049 8.70098
166.877 8.4935
169.706 8.27719
172.534 8.05205
175.362 7.81808
178.191 7.57528
181.019 7.32366
183.848 7.0632
186.676 6.79392
189.505 6.5158
192.333 6.22886
195.161 5.93309
197.99 5.62849
200.818 5.31506
203.647 4.9928
206.475 4.66171
209.304 4.3218
212.132 3.97305
214.96 3.61548
217.789 3.24907
220.617 2.87384
223.446 2.48978
226.274 2.09689
229.103 1.69517
231.931 1.28462
234.759 0.865242
237.588 0.437036
