GAE/ACALTF,GAE/ACPHIR,GAE/ACPSIR,GAE/IAIRSPK,GAE/THETAR,GAE/UBODYF,GAE/VBODYF,GAE/WBODYF,GAE/Z1DOTF,zzSCENARIO/SYSTEM_TIME,
1.00282,0,0,121.538,-0,204.927,0,0.0237255,0,21.47,
1.00282,0,0,122.391,-0,206.508,0,0.0237012,0,21.58,
1.00282,0,0,123.412,-0,208.086,0,0.0236767,0,21.69,
1.00282,0,0,124.262,-0,209.663,0,0.0240678,0,21.8,
1.00282,0,0,125.196,-0,211.095,0,0.0240758,0,21.91,
1.00282,0,0,126.129,-0,212.668,0,0.0240504,0,22.02,
1.00282,0,0,127.738,-0,215.38,0,0.0240061,0,22.21,
1.00282,0,0,127.991,-0,215.808,0,0.0239991,0,22.24,
1.00282,0,0,129.005,-0,217.517,0,0.0239732,0,22.35,
1.00282,0,0,129.849,-0,218.94,0,0.0244432,0,22.46,
1.00282,0,0,130.776,-0,220.502,0,0.0244165,0,22.57,
1.00282,0,0,131.701,-0,222.063,0,0.0243896,0,22.67,
1.00282,0,0,132.626,-0,223.622,0,0.0243626,0,22.78,
1.00282,0,0,133.549,-0,225.178,0,0.0243355,0,22.89,
1.00282,0,0,134.471,-0,226.733,0,0.0250051,0,23,
1.00282,0,0,135.392,-0,228.285,0,0.0262571,0,23.11,
1.00282,0,0,136.311,-0,229.836,0,0.0284165,0,23.22,
1.00282,0,0,137.146,-0,231.384,0,0.0284937,0,23.33,
1.00282,0,0,138.063,-0,232.93,0,0.0285166,0,23.44,
1.00282,0,0,138.979,-0,234.474,0,0.0285396,0,23.55,
1.00282,0,0,139.893,-0,236.015,0,0.029149,0,23.66,
1.00282,0,0,140.972,9.08203e-006,237.695,0,0.0299656,0,23.79,
1.00282,0,0,141.718,0.000347956,238.952,0,0.0950583,0,23.87,
1.00384,0,0,142.711,0.00213192,240.627,0,0.488671,-0.0243257,23.99,
1.00834,0,0,143.538,0.00518337,242.018,0,1.19165,-0.0628261,24.09,
1.0182,0,0,144.446,0.01053,243.539,0,2.45155,-0.113009,24.21,
1.03416,0,0,145.353,0.0183329,245.044,0,4.31924,-0.173582,24.32,
1.05749,0,0,146.262,0.0290399,246.518,0,6.91458,-0.246169,24.42,
1.08966,0,0,147.176,0.043191,247.939,0,10.3817,-0.342163,24.54,
1.13246,0,0,148.103,0.0614436,249.388,0,15.3654,-0.449273,24.65,
1.18249,0,0,149.053,0.084601,250.468,0,20.6722,-0.566315,24.75,
1.25947,0,0,150.042,0.113645,251.437,0,27.9721,-0.72148,24.86,
1.35276,0,0,151.083,0.150893,251.994,0,37.3271,-0.97698,24.97,
1.46914,0,0,152.121,0.201802,251.748,0,50.0658,-1.40936,25.08,
1.68353,0,0,153.476,0.270338,250.11,0,66.4254,-2.78076,25.19,
2.10276,0,0,154.829,0.348167,247.156,0,84.0736,-5.29417,25.3,
2.59721,0,0,156.074,0.355286,248.817,0,86.3363,-5.60867,25.41,
3.37708,0,0,157.411,0.355286,251.713,0,83.9665,-8.93932,25.52,
4.54675,0,0,158.725,0.355286,254.966,0,81.3873,-12.7466,25.63,
6.14747,0,0,160.011,0.355286,258.185,0,78.0941,-16.6942,25.74,
8.17385,0,0,161.382,0.355286,261.535,0,75.2147,-20.4597,25.85,
10.605,0,0,162.501,0.355286,264.203,0,72.7269,-23.7205,25.96,
13.4198,0,0,163.707,0.355286,267.014,0,70.1518,-27.1124,26.07,
16.594,0,0,164.889,0.355286,269.695,0,67.7808,-30.2679,26.18,
