GAE/ACALTF,GAE/ACPHIR,GAE/ACPSIR,GAE/IAIRSPK,GAE/THETAR,GAE/UBODYF,GAE/VBODYF,GAE/WBODYF,GAE/Z1DOTF,zzSCENARIO/SYSTEM_TIME,
1.00282,0,0,67.3714,-0,113.596,0,0.0207587,0,13.66,
1.00282,0,0,68.3606,-0,115.264,0,0.0207467,0,13.77,
1.00282,0,0,69.3491,-0,116.93,0,0.0210576,0,13.88,
1.00282,0,0,70.2472,-0,118.445,0,0.0210451,0,13.99,
1.00282,0,0,71.5036,-0,120.563,0,0.0210302,0,14.12,
1.00282,0,0,72.221,-0,121.924,0,0.0210197,0,14.21,
1.00282,0,0,73.2963,-0,123.586,0,0.0210067,0,14.32,
1.00282,0,0,74.2813,-0,125.247,0,0.0213148,0,14.43,
1.00282,0,0,75.1762,-0,126.755,0,0.0213037,0,14.53,
1.00282,0,0,76.2491,-0,128.564,0,0.0212888,0,14.65,
1.00282,0,0,77.2319,-0,130.222,0,0.021275,0,14.76,
1.00282,0,0,78.1247,-0,131.727,0,0.0212623,0,14.86,
1.00282,0,0,79.106,-0,133.381,0,0.0212481,0,14.97,
1.00282,0,0,80.0865,-0,135.035,0,0.0216057,0,15.08,
1.00282,0,0,81.0662,-0,136.687,0,0.0215909,0,15.19,
1.00282,0,0,82.0452,-0,138.337,0,0.021576,0,15.3,
1.00282,0,0,83.0233,-0,139.986,0,0.021561,0,15.41,
1.00282,0,0,84.0006,-0,141.634,0,0.0215457,0,15.52,
1.00282,0,0,84.9771,-0,143.281,0,0.0218505,0,15.63,
1.00282,0,0,85.9527,-0,144.926,0,0.021836,0,15.74,
1.00282,0,0,86.839,-0,146.569,0,0.02182,0,15.85,
1.00282,0,0,87.813,-0,148.212,0,0.0218039,0,15.96,
1.00282,0,0,88.8746,-0,149.852,0,0.0217876,0,16.07,
1.00282,0,0,89.8468,-0,151.492,0,0.0217712,0,16.18,
1.00282,0,0,90.7299,-0,153.129,0,0.0222236,0,16.29,
1.00282,0,0,91.7004,-0,154.766,0,0.0222064,0,16.4,
1.00282,0,0,92.7582,-0,156.401,0,0.0221891,0,16.51,
1.00282,0,0,93.6388,-0,158.034,0,0.0221716,0,16.62,
1.00282,0,0,94.6066,-0,159.517,0,0.0221556,0,16.72,
1.00282,0,0,95.5735,-0,161.148,0,0.0225226,0,16.83,
1.00282,0,0,96.5395,-0,162.776,0,0.022506,0,16.94,
1.00282,0,0,97.5045,-0,164.403,0,0.0224875,0,17.05,
1.00282,0,0,98.4686,-0,166.029,0,0.0224689,0,17.16,
1.00282,0,0,99.4317,-0,167.653,0,0.0224502,0,17.27,
1.00282,0,0,100.394,-0,169.275,0,0.0224313,0,17.38,
1.00282,0,0,101.355,-0,170.896,0,0.0228549,0,17.49,
1.00282,0,0,102.228,-0,172.515,0,0.0228352,0,17.6,
1.00282,0,0,103.187,-0,174.132,0,0.0228154,0,17.71,
1.00282,0,0,104.233,-0,175.748,0,0.0227955,0,17.82,
1.00282,0,0,105.19,-0,177.362,0,0.0227754,0,17.93,
1.00282,0,0,106.059,-0,178.828,0,0.0231968,0,18.03,
1.00282,0,0,107.015,-0,180.585,0,0.0231761,0,18.15,
1.00282,0,0,107.969,-0,182.194,0,0.0231551,0,18.26,
1.00282,0,0,108.922,-0,183.655,0,0.0231359,0,18.36,
1.00282,0,0,109.874,-0,185.26,0,0.0231146,0,18.47,
1.00282,0,0,110.825,-0,186.864,0,0.0230931,0,18.58,
1.00282,0,0,111.775,-0,188.466,0,0.0235398,0,18.69,
1.00282,0,0,112.724,-0,190.066,0,0.0235176,0,18.8,
1.00282,0,0,113.672,-0,191.664,0,0.0234952,0,18.91,
1.00282,0,0,114.619,-0,193.26,0,0.0234726,0,19.02,
1.00282,0,0,115.565,-0,194.855,0,0.0234499,0,19.13,
1.00282,0,0,116.509,-0,196.448,0,0.0238588,0,19.24,
1.00282,0,0,117.453,-0,198.039,0,0.0238767,0,19.35,
1.00282,0,0,118.31,-0,199.628,0,0.0239021,0,19.46,
1.00282,0,0,119.337,-0,201.215,0,0.0238937,0,19.57,
1.00282,0,0,120.277,-0,202.8,0,0.0238714,0,19.68,
1.00282,0,0,121.13,-0,204.239,0,0.023942,0,19.78,
1.00282,0,0,122.154,-0,205.964,0,0.0246042,0,19.9,
1.00282,0,0,123.09,-0,207.544,0,0.0244896,0,20.01,
1.00282,0,0,123.941,-0,209.121,0,0.0247334,0,20.12,
1.00282,0,0,124.875,-0,210.554,0,0.0247348,0,20.22,
1.00282,0,0,125.809,-0,212.127,0,0.0247187,0,20.33,
1.00282,0,0,126.741,-0,213.699,0,0.0252948,0,20.44,
1.00282,0,0,127.672,-0,215.268,0,0.0253362,0,20.55,
1.00282,0,0,128.601,-0,216.836,0,0.0254096,0,20.66,
1.00282,0,0,129.53,-0,218.402,0,0.0258231,0,20.77,
1.00282,0,0,130.457,-0,219.965,0,0.0262973,0,20.88,
1.00282,0,0,131.383,-0,221.527,0,0.026746,0,20.99,
1.00282,0,0,132.308,-0,223.086,0,0.0274623,0,21.1,
1.00282,0,0,133.148,-0,224.643,0,0.0277896,0,21.21,
1.00282,0,0,134.154,-0,226.199,0,0.028099,0,21.32,
1.00282,0,0,135.075,-0,227.752,0,0.0284517,0,21.43,
1.00282,0,0,135.911,-0,229.162,0,0.028483,0,21.53,
1.00282,0,0,136.83,-0,230.711,0,0.0290229,0,21.64,
1.00282,0,0,137.831,-0,232.398,0,0.0290484,0,21.76,
1.00282,0,0,138.747,-0,233.943,0,0.0290718,0,21.87,
1.00282,0,0,139.579,-0,235.345,0,0.0290932,0,21.97,
1.00282,0,0,140.492,-0,236.886,0,0.0291168,0,22.08,
1.00282,0,0,141.405,0.000127417,238.424,0,0.05058,0,22.19,
