GAE/ACALTF,GAE/ACPHIR,GAE/ACPSIR,GAE/IAIRSPK,GAE/THETAR,GAE/UBODYF,GAE/VBODYF,GAE/WBODYF,GAE/Z1DOTF,JoystickX,JoystickY,zzSCENARIO/SYSTEM_TIME,
1.00282,0,0,0,0,0,0,0,0,0,0,9.25,
1.00282,0,0,0,0,0,0,0,0,0,0,9.37,
1.00282,0,0,0,0,0,0,0,0,0,0,9.48,
1.00282,0,0,0,0,0,0,0,0,0,0,9.58,
1.00282,0,0,0,0,0,0,0,0,0,0,9.69,
1.00282,0,0,0,0,0,0,0,0,0,0,9.8,
1.00282,0,0,0,0,0,0,0,0,0,0,9.91,
1.00282,0,0,0,0,0,0,0,0,0,0,10.02,
1.00282,0,0,0,0,0,0,0,0,0,0,10.13,
1.00282,0,0,0,0,0,0,0,0,0,0,10.24,
1.00282,0,0,0,0,0,0,0,0,0,0,10.31,
1.00282,0,0,0.506663,0,0.854081,0,0.0189036,0,0,0,10.46,
1.00282,0,0,0.931844,0,1.57108,0,0.0189036,0,0,0,10.57,
1.00282,0,0,1.01048,0,1.70367,0,0.0189035,0,0,0,10.67,
1.00282,0,0,1.08911,0,1.83626,0,0.0189035,0,0,0,10.79,
1.00282,0,0,1.16774,0,1.96885,0,0.0189035,0,0,0,10.89,
1.00282,0,0,1.24637,0,2.10143,0,0.0189035,0,0,0,11,
1.00282,0,0,1.325,0,2.23402,0,0.0189102,0,0,0,11.12,
1.00282,0,0,1.40363,0,2.3666,0,0.0189102,0,0,0,11.23,
1.00282,0,0,1.48226,0,2.49918,0,0.0189102,0,0,0,11.33,
1.00282,0,0,1.55374,0,2.63176,0,0.0189102,0,0,0,11.44,
1.00282,0,0,1.63951,0,2.76434,0,0.0189102,0,0,0,11.56,
1.00282,0,0,1.71814,0,2.89691,0,0.0189225,0,0,0,11.66,
1.00282,0,0,1.79346,0,3.03855,0,0.0189225,0,0,0,11.77,
1.00282,0,0,1.88897,0,3.18496,0,0.0189225,0,0,0,11.88,
1.00282,0,0,1.99375,0,3.36163,0,0.0189224,0,0,0,11.99,
1.00282,0,0,2.09521,0,3.53271,0,0.0189224,0,0,0,12.1,
1.00282,0,0,2.18972,0,3.69206,0,0.0189224,0,0,0,12.21,
1.00282,0,0,2.29733,0,3.8735,0,0.0189321,0,0,0,12.32,
1.00282,0,0,2.41433,0,4.08996,0,0.018932,0,0,0,12.43,
1.00282,0,0,2.61922,0,4.52169,0,0.0189319,0,0,0,12.54,
1.00282,0,0,3.58718,0,6.04835,0,0.0189315,0,0,0,12.65,
1.00282,0,0,4.59934,0,7.75497,0,0.0189309,0,0,0,12.75,
1.00282,0,0,5.61146,0,9.46152,0,0.0189415,0,0,0,12.87,
1.00282,0,0,6.62353,0,11.168,0,0.0189405,0,0,0,12.98,
1.00282,0,0,7.63553,0,12.8743,0,0.0189394,0,0,0,13.08,
1.00282,0,0,8.55547,0,14.5806,0,0.0189381,0,0,0,13.19,
1.00282,0,0,9.6593,0,16.2866,0,0.0189367,0,0,0,13.31,
1.00282,0,0,10.6711,0,17.9926,0,0.0189351,0,0,0,13.42,
1.00282,0,0,11.5907,0,19.6983,0,0.0189631,0,0,0,13.52,
1.00282,0,0,12.6023,0,21.2488,0,0.0189612,0,0,0,13.63,
1.00282,0,0,13.6137,0,23.1092,0,0.0189591,0,0,0,13.74,
1.00282,0,0,14.7169,0,24.8143,0,0.0189568,0,0,0,13.85,
1.00282,0,0,15.6361,0,26.3642,0,0.0189544,0,0,0,13.96,
1.00282,0,0,16.6471,0,28.0688,0,0.0190138,0,0,0,14.07,
1.00282,0,0,17.6579,0,29.7732,0,0.0190113,0,0,0,14.18,
1.00282,0,0,18.6685,0,31.6321,0,0.0190081,0,0,0,14.29,
1.00282,0,0,19.679,0,33.181,0,0.0190053,0,0,0,14.4,
1.00282,0,0,20.6892,0,34.8844,0,0.0190021,0,0,0,14.51,
1.00282,0,0,21.6993,0,36.5874,0,0.0189987,0,0,0,14.62,
1.00282,0,0,22.7091,0,38.2901,0,0.0190871,0,0,0,14.73,
1.00282,0,0,23.7187,0,39.9924,0,0.0190833,0,0,0,14.83,
1.00282,0,0,24.7281,0,41.6943,0,0.0190794,0,0,0,14.94,
1.00282,0,0,25.7372,0,43.3958,0,0.0190754,0,0,0,15.06,
1.00282,0,0,26.7461,0,45.0968,0,0.0190712,0,0,0,15.16,
1.00282,0,0,27.663,0,46.6428,0,0.0191914,0,0,0,15.27,
1.00282,0,0,28.6713,0,48.343,0,0.0191868,0,0,0,15.38,
1.00282,0,0,29.6794,0,50.1972,0,0.019182,0,0,0,15.49,
1.00282,0,0,30.7787,0,51.8963,0,0.0191771,0,0,0,15.6,
1.00282,0,0,31.6945,0,53.4405,0,0.0191725,0,0,0,15.71,
1.00282,0,0,32.7017,0,55.1386,0,0.0191668,0,0,0,15.82,
1.00282,0,0,33.7085,0,56.8362,0,0.0193005,0,0,0,15.93,
1.00282,0,0,34.7149,0,58.5332,0,0.0192949,0,0,0,16.04,
1.00282,0,0,35.721,0,60.2296,0,0.0192897,0,0,0,16.15,
1.00282,0,0,36.7268,0,61.9254,0,0.0192838,0,0,0,16.25,
1.00282,0,0,37.7321,0,63.6205,0,0.0192777,0,0,0,16.37,
1.00282,0,0,38.7371,0,65.3151,0,0.0194512,0,0,0,16.47,
1.00282,0,0,39.7417,0,67.0089,0,0.0194447,0,0,0,16.58,
1.00282,0,0,40.7459,0,68.7022,0,0.0194381,0,0,0,16.69,
1.00282,0,0,41.6585,0,70.3947,0,0.0194314,0,0,0,16.8,
1.00282,0,0,42.7531,0,72.0865,0,0.0194244,0,0,0,16.91,
1.00282,0,0,43.6649,0,73.7776,0,0.0194173,0,0,0,17.02,
1.00282,0,0,44.6674,0,75.3143,0,0.0196221,0,0,0,17.13,
1.00282,0,0,45.6695,0,77.1575,0,0.0196146,0,0,0,17.24,
1.00282,0,0,46.7622,0,78.8463,0,0.0196069,0,0,0,17.35,
1.00282,0,0,47.6724,0,80.3809,0,0.0195998,0,0,0,17.46,
1.00282,0,0,48.6731,0,82.0682,0,0.0195918,0,0,0,17.57,
1.00282,0,0,49.6733,0,83.7546,0,0.0197993,0,0,0,17.68,
1.00282,0,0,50.673,0,85.5934,0,0.0197909,0,0,0,17.79,
1.00282,0,0,51.6722,0,87.125,0,0.0197823,0,0,0,17.9,
1.00282,0,0,52.6708,0,88.8089,0,0.0197744,0,0,0,18,
1.00282,0,0,53.669,0,90.4919,0,0.0197655,0,0,0,18.12,
1.00282,0,0,54.6666,0,92.174,0,0.0197564,0,0,0,18.23,
1.00282,0,0,55.6637,0,93.8551,0,0.0200133,0,0,0,18.33,
1.00282,0,0,56.5696,0,95.5354,0,0.0200038,0,0,0,18.44,
1.00282,0,0,57.6561,0,97.2146,0,0.0199942,0,0,0,18.55,
1.00282,0,0,58.6515,0,98.8929,0,0.0199844,0,0,0,18.66,
1.00282,0,0,59.6463,0,100.57,0,0.0199713,0,0,0,18.78,
1.00282,0,0,60.5501,0,102.094,0,0.0202244,0,0,0,18.88,
1.00282,0,0,61.5438,0,103.922,0,0.0202139,0,0,0,18.99,
1.00282,0,0,62.627,0,105.596,0,0.0202033,0,0,0,19.1,
1.00282,0,0,63.5292,0,107.117,0,0.0201934,0,0,0,19.21,
1.00282,0,0,64.521,0,108.789,0,0.0201825,0,0,0,19.31,
1.00282,0,0,65.5121,0,110.461,0,0.0204875,0,0,0,19.43,
1.00282,0,0,66.5025,0,112.131,0,0.0204966,0,0,0,19.54,
1.00282,0,0,67.4924,0,113.951,0,0.020485,0,0,0,19.65,
1.00282,0,0,68.4815,0,115.467,0,0.0204742,0,0,0,19.75,
1.00282,0,0,69.47,0,117.134,0,0.0204622,0,0,0,19.86,
1.00282,0,0,70.4577,0,118.8,0,0.0204501,0,0,0,19.98,
1.00282,0,0,71.4448,0,120.464,0,0.020752,0,0,0,20.08,
1.00282,0,0,72.4311,0,122.127,0,0.0207393,0,0,0,20.19,
1.00282,0,0,73.4168,0,123.789,0,0.0207265,0,0,0,20.3,
1.00282,0,0,74.4017,0,125.449,0,0.0207135,0,0,0,20.42,
1.00282,0,0,75.2964,0,126.958,0,0.0207004,0,0,0,20.52,
1.00282,0,0,76.2799,0,128.616,0,0.0210227,0,0,0,20.63,
1.00282,0,0,77.352,0,130.424,0,0.0210315,0,0,0,20.74,
1.00282,0,0,78.3339,0,132.08,0,0.0210177,0,0,0,20.85,
1.00282,0,0,79.2259,0,133.584,0,0.0210049,0,0,0,20.96,
1.00282,0,0,80.2063,0,135.237,0,0.0209907,0,0,0,21.07,
1.00282,0,0,81.1859,0,137.039,0,0.0209751,0,0,0,21.18,
1.00282,0,0,82.1648,0,138.539,0,0.021308,0,0,0,21.29,
1.00282,0,0,83.1428,0,140.188,0,0.0212944,0,0,0,21.4,
1.00282,0,0,84.12,0,141.836,0,0.0212793,0,0,0,21.5,
1.00282,0,0,85.0964,0,143.482,0,0.0212627,0,0,0,21.62,
1.00282,0,0,86.0719,0,145.127,0,0.0212473,0,0,0,21.73,
1.00282,0,0,87.0466,0,146.77,0,0.0212332,0,0,0,21.83,
1.00282,0,0,88.0205,0,148.412,0,0.0216549,0,0,0,21.94,
1.00282,0,0,88.9934,0,150.053,0,0.0216387,0,0,0,22.06,
1.00282,0,0,89.9656,0,151.692,0,0.0216224,0,0,0,22.17,
1.00282,0,0,90.8485,0,153.329,0,0.0216058,0,0,0,22.27,
