"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse"
2,1,0,3,"Pitch","Airspeed",50,7560,0.506168670642741,65.0868483067661,92.4057522935024
2,1,0,3,"Pitch","Airspeed",100,7560,0.564471926640879,61.2073834577233,86.5685739448267
2,1,0,3,"Pitch","Airspeed",150,7560,0.595469362286637,59.1544455056387,83.5471703473047
2,1,0,3,"Pitch","Airspeed",200,7560,0.611949564549766,57.569863805485,81.1732495347641
2,1,0,3,"Pitch","Airspeed",250,7560,0.623031563638023,56.6083999417468,79.7547192055914
2,1,0,3,"Pitch","Airspeed",300,7560,0.637132772255519,55.467115250648,78.2873675013828
2,1,0,3,"Pitch","Airspeed",350,7560,0.642387261222649,54.8295091808392,77.5725045429462
2,1,0,3,"Pitch","Airspeed",400,7560,0.652355174502779,54.1296075084707,76.5694380186433
2,1,0,3,"Pitch","Airspeed",450,7560,0.654380055750849,53.8478651770509,76.1411252185908
2,1,0,3,"Pitch","Airspeed",500,7560,0.657485717939044,53.4854573091105,75.7623456096608
2,1,0,3,"Pitch","Airspeed",550,7560,0.664615079731943,52.898883569822,74.9074566391325
2,1,0,3,"Pitch","Airspeed",600,7560,0.664344589551003,52.8677072389552,74.9476145795241
2,1,0,3,"Pitch","Airspeed",650,7560,0.66930568745799,52.6222685749647,74.3774120546973
2,1,0,3,"Pitch","Airspeed",700,7560,0.671556685642107,52.1860422460014,74.1607326866024
2,1,0,3,"Pitch","Airspeed",750,7560,0.672697993555838,52.0309295306329,74.0623134210894
2,1,0,3,"Pitch","Airspeed",800,7560,0.674463385818989,52.0028013897833,73.9531094256135
2,1,0,3,"Pitch","Airspeed",850,7560,0.675729352125882,51.7221716992278,73.6746177671438
2,1,0,3,"Pitch","Airspeed",900,7560,0.677780059987933,51.536573254426,73.4485762609405
2,1,0,3,"Pitch","Airspeed",950,7560,0.678076792339766,51.4947575382396,73.3639813958677
