"E","tau","tp","nn","theta","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
2,1,1,0,0,2519,0.996261000177988,0.00109092781109468,0.0342431569923492,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,1e-04,2519,0.996261000995162,0.00109092701434728,0.0342431534710013,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,3e-04,2519,0.996261002629078,0.0010909254210312,0.0342431464305362,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,0.001,2519,0.99626100834326,0.00109091984629471,0.0342431218123285,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,0.003,2519,0.996261024630764,0.0010909039344262,0.0342430516749549,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,0.01,2519,0.996261081187135,0.001090848425852,0.0342428085184231,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,0.03,2519,0.99626123897122,0.00109069275498619,0.0342421333667313,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,0.1,2519,0.996261748819341,0.00109021303063501,0.0342399856026703,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,0.3,2519,0.996262892636022,0.00108911972425499,0.0342353770621937,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,0.5,2519,0.996263681006368,0.00108835198812761,0.0342323886750491,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,0.75,2519,0.996264329139215,0.00108778346770786,0.0342300400111675,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,1,2519,0.996264737345966,0.00108744104175551,0.034228594343321,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,1.5,2519,0.996265176577121,0.00108693721644138,0.034227061594791,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,2,2519,0.996265383714077,0.00108661886210336,0.0342263813878148,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,3,2519,0.996265556464292,0.00108644023669816,0.0342259467477378,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,4,2519,0.996265686239302,0.00108663616789661,0.0342256304100074,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,6,2519,0.996266381929179,0.00108738286801453,0.0342228978527575,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
2,1,1,0,8,2519,0.996267779651879,0.00108791823292276,0.0342168287901308,1,0,2519,0.994633631892347,0.00545728594274575,0.0409944405656441,0.998412068281064,0
