"E","tau","tp","nn","theta","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
2,1,1,0,0,2519,0.999999660948568,0.000298694299763047,0.000497783322534229,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,1e-04,2519,0.99999966094856,0.000298694184357731,0.000497783269286488,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,3e-04,2519,0.999999660948544,0.000298693953465744,0.000497783162754438,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,0.001,2519,0.999999660948488,0.000298693144478683,0.000497782789498463,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,0.003,2519,0.999999660948324,0.00029869084856446,0.000497781719701893,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,0.01,2519,0.999999660947715,0.000298682762572747,0.000497777936911369,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,0.03,2519,0.999999660945665,0.000298658962280117,0.000497766814367136,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,0.1,2519,0.999999660935045,0.00029857103682096,0.000497724805815597,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,0.3,2519,0.999999660879071,0.000298319980465401,0.000497591847836311,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,0.5,2519,0.999999660795977,0.00029811566105514,0.00049746368768258,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,0.75,2519,0.999999660673423,0.00029795856257959,0.000497335866687185,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,1,2519,0.999999660544047,0.000297915924726726,0.000497254646558189,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,1.5,2519,0.999999660286417,0.000298026495501134,0.000497219293346836,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,2,2519,0.999999660042857,0.000298307935934266,0.000497291251244563,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,3,2519,0.999999659633382,0.000299098874121723,0.000497526709484267,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,4,2519,0.999999659372336,0.000299800929322018,0.000497708671076764,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,6,2519,0.999999659190461,0.000300646079531354,0.00049783701298327,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
2,1,1,0,8,2519,0.999999659174528,0.000301142766639408,0.000497855031965376,0.999603017070266,0,2519,0.99994329152132,0.00513232706962725,0.00644213767311495,0.996824136562128,0
