"E","tau","tp","nn","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0
5,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0
6,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0
7,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0
9,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0
10,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0
