"E","tau","tp","nn","theta","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
2,1,1,0,0,2519,0.999664626569779,0.00429392628634598,0.023539738436359,0.999603017070266,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,1e-04,2519,0.999664627516917,0.00429391424087179,0.0235397053746532,0.999603017070266,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,3e-04,2519,0.999664629410747,0.0042938901614718,0.0235396392665283,0.999603017070266,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,0.001,2519,0.999664636034479,0.00429380600470912,0.0235394080484865,0.999603017070266,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,0.003,2519,0.999664654919477,0.00429356659235607,0.0235387487973888,0.999603017070266,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,0.01,2519,0.999664720554215,0.0042927424038755,0.0235364573093059,0.999603017070266,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,0.03,2519,0.9996649042011,0.00429049637948065,0.023530043494576,0.999206034140532,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,0.1,2519,0.999665504930147,0.00428382378829974,0.0235090398231919,0.999206034140532,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,0.3,2519,0.999666934856961,0.004272610263261,0.0234588949882071,0.999206034140532,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,0.5,2519,0.999668077653783,0.00426809020840011,0.0234186784960204,0.999206034140532,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,0.75,2519,0.999669270351524,0.00426718529597952,0.0233766091569799,0.998809051210798,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,1,2519,0.999670305379216,0.00426933578644621,0.0233400516748561,0.998809051210798,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,1.5,2519,0.999672102000622,0.00427581931632963,0.0232765306560667,0.998809051210798,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,2,2519,0.999673681711604,0.00428309784262312,0.0232206550918054,0.998809051210798,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,3,2519,0.999676502546451,0.00428940349676158,0.0231210504596583,0.998809051210798,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,4,2519,0.999678984386933,0.00428728043251036,0.0230337213726029,0.998809051210798,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,6,2519,0.99968281115862,0.0042846912839035,0.0228987163461851,0.998809051210798,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
2,1,1,0,8,2519,0.999685808765088,0.00429008133105961,0.022792069114004,0.998809051210798,0,2519,0.99848425304124,0.0230300663975926,0.0500281593095693,0.990869392616118,0
