Model,Parameters,Training Epoch,Training Loss,Training Accuracy,Test Loss,Test Accuracy,Balanced Test Accuracy
0,132619,56,1.1006126161405887,0.5530343005923504,1.0961251564998844,0.5547933158165756,0.5182272691316712
1,132619,15,1.9687726431178123,0.25628847835246366,1.9674167897267203,0.24854881266490766,0.23121936654245098
2,132619,144,2.0256007165581695,0.2457343887763791,2.0212636877175685,0.24045734389397588,0.22804924122712436
3,265227,32,1.4063903408503469,0.4854881267172261,1.395205552450061,0.4963940193648913,0.42909381230448956
4,265227,12,1.9405598641070967,0.2592788039065288,1.9126525555143465,0.27247141600703606,0.25513603333880347
5,265227,112,1.9629533080962422,0.26297273530232457,1.945616634707757,0.2603342128440856,0.24588024226397406
6,530443,9,2.3567212264162465,0.14300791559349368,2.3494629152427144,0.1477572559432283,0.09090909090909091
7,530443,11,1.87898788531831,0.288126648976914,1.8553694767394187,0.29217238346853586,0.28140596049745686
8,530443,102,1.8964454057034212,0.2890061565811632,1.8819530477834145,0.27915567282977183,0.27270113008379204
9,149131,38,0.9561977168500895,0.5841688655192325,0.9275449226902783,0.6054529464444048,0.5864409354682549
10,149131,13,1.469381870820843,0.38997361484387516,1.4270917359421729,0.4056288478819026,0.3904957507376428
11,149131,67,1.4919481506657999,0.3762532982106993,1.4664052213611787,0.38997361477834674,0.37098504717181874
12,331019,26,0.8489763162905644,0.6188214600767707,0.8369075455682363,0.6346525945889918,0.6106751926081814
13,331019,8,1.455890302335157,0.40070360603831584,1.4565480092165233,0.3954265611624655,0.3829889506830277
14,331019,39,1.467227410473316,0.3841688653567221,1.4502443211269462,0.3936675462108384,0.3827645739294318
15,793099,0,14.042731080436875,0.12875989448269312,13.847102552563241,0.14089709762860625,0.09090909090909091
16,793099,5,1.4136446162704428,0.4005277045536377,1.409696294596663,0.39243623571062464,0.396112479684849
17,793099,26,1.4361608956503888,0.4102022867875867,1.4246269083065008,0.41037818821722094,0.39880861868724576
18,165643,17,0.8932229850831112,0.6140721195710785,0.8823459183320521,0.6165347406082019,0.5747704066693383
19,165643,7,1.3567410969587408,0.4226912928025976,1.3589235659325027,0.433421284086157,0.39929684677683924
20,165643,40,1.3349675769856233,0.4255057168667423,1.3236393863523646,0.4314863676498517,0.40418206821169994
21,396811,17,0.8472363359905065,0.6228671944759976,0.8339132411184286,0.6362357080769099,0.59695309350865
22,396811,4,1.3150504480251222,0.42620932283690866,1.3168614361510533,0.4251539138239942,0.4035834836389902
23,396811,25,1.2509112193276197,0.45435356206818434,1.2413003380925591,0.457871591924258,0.44042557918666003
24,1055755,0,13.813080178716252,0.14300791559349368,13.736529895309408,0.1477572559432283,0.09090909090909091
25,1055755,4,1.1988051310483048,0.46754617406384613,1.2068102570720798,0.46772207565336976,0.4378876526229186
26,1055755,14,1.2107303201785293,0.4659630609061913,1.199786687421505,0.4775725594716001,0.45628229155456573
