"E","tau","tp","nn","lib_column","target_column","lib_size","num_pred","rho","mae","rmse","direction"
10,1,-5,11,"Steering.wheel.angle","Left.wheel.RPM",991,991,0.999989056821069,0.0707625014594512,0.127264662195011,"Steering.wheel.angle xmap Left.wheel.RPM"
10,1,-5,11,"Right.wheel.RPM","Left.wheel.RPM",991,991,0.999988189515175,0.0750112361788358,0.132550633032575,"Right.wheel.RPM xmap Left.wheel.RPM"
10,1,-5,11,"Steering.wheel.angle","Right.wheel.RPM",991,991,0.999989056821069,0.0707625014594513,0.127264662195012,"Steering.wheel.angle xmap Right.wheel.RPM"
10,1,-5,11,"Left.wheel.RPM","Right.wheel.RPM",991,991,0.999988189515175,0.075011236178829,0.132550633032577,"Left.wheel.RPM xmap Right.wheel.RPM"
10,1,-4,11,"Left.wheel.RPM","Steering.wheel.angle",991,991,0.9999906962793,0.44046616403631,0.721423016171499,"Left.wheel.RPM xmap Steering.wheel.angle"
10,1,-4,11,"Right.wheel.RPM","Steering.wheel.angle",991,991,0.9999906962793,0.440466164036332,0.721423016171501,"Right.wheel.RPM xmap Steering.wheel.angle"
10,1,-4,11,"Steering.wheel.angle","Left.wheel.RPM",991,991,0.999992204009317,0.0657288911917903,0.10743829641016,"Steering.wheel.angle xmap Left.wheel.RPM"
10,1,-4,11,"Right.wheel.RPM","Left.wheel.RPM",991,991,0.999992697016198,0.0687196089032518,0.10602540009485,"Right.wheel.RPM xmap Left.wheel.RPM"
10,1,-4,11,"Steering.wheel.angle","Right.wheel.RPM",991,991,0.999992204009317,0.0657288911917863,0.107438296410159,"Steering.wheel.angle xmap Right.wheel.RPM"
10,1,-4,11,"Left.wheel.RPM","Right.wheel.RPM",991,991,0.999992697016198,0.0687196089032441,0.106025400094848,"Left.wheel.RPM xmap Right.wheel.RPM"
10,1,-3,11,"Left.wheel.RPM","Steering.wheel.angle",991,991,0.999976307334906,0.570929539993469,1.097471613107,"Left.wheel.RPM xmap Steering.wheel.angle"
10,1,-3,11,"Right.wheel.RPM","Steering.wheel.angle",991,991,0.999976307334906,0.570929539993493,1.097471613107,"Right.wheel.RPM xmap Steering.wheel.angle"
10,1,-3,11,"Steering.wheel.angle","Left.wheel.RPM",991,991,0.999971264338689,0.0899637435614091,0.206671244237583,"Steering.wheel.angle xmap Left.wheel.RPM"
10,1,-3,11,"Right.wheel.RPM","Left.wheel.RPM",991,991,0.999973351131563,0.0942493269808604,0.200797649134154,"Right.wheel.RPM xmap Left.wheel.RPM"
10,1,-3,11,"Steering.wheel.angle","Right.wheel.RPM",991,991,0.999971264338689,0.0899637435614077,0.206671244237584,"Steering.wheel.angle xmap Right.wheel.RPM"
10,1,-3,11,"Left.wheel.RPM","Right.wheel.RPM",991,991,0.999973351131563,0.0942493269808461,0.200797649134151,"Left.wheel.RPM xmap Right.wheel.RPM"
10,1,-2,11,"Left.wheel.RPM","Steering.wheel.angle",991,991,0.999942568569536,0.751941437155754,1.66247968824799,"Left.wheel.RPM xmap Steering.wheel.angle"
10,1,-2,11,"Right.wheel.RPM","Steering.wheel.angle",991,991,0.999942568569536,0.75194143715578,1.66247968824799,"Right.wheel.RPM xmap Steering.wheel.angle"
10,1,-2,11,"Steering.wheel.angle","Left.wheel.RPM",991,991,0.999923308990809,0.125721426317864,0.337394850737047,"Steering.wheel.angle xmap Left.wheel.RPM"
10,1,-2,11,"Right.wheel.RPM","Left.wheel.RPM",991,991,0.999927180738104,0.130967217203788,0.330131514968904,"Right.wheel.RPM xmap Left.wheel.RPM"
10,1,-2,11,"Steering.wheel.angle","Right.wheel.RPM",991,991,0.999923308990809,0.125721426317865,0.33739485073705,"Steering.wheel.angle xmap Right.wheel.RPM"
10,1,-2,11,"Left.wheel.RPM","Right.wheel.RPM",991,991,0.999927180738104,0.130967217203771,0.3301315149689,"Left.wheel.RPM xmap Right.wheel.RPM"
10,1,-1,11,"Left.wheel.RPM","Steering.wheel.angle",991,991,0.999887326953214,0.962951924508171,2.30079754657959,"Left.wheel.RPM xmap Steering.wheel.angle"
10,1,-1,11,"Right.wheel.RPM","Steering.wheel.angle",991,991,0.999887326953214,0.962951924508194,2.30079754657959,"Right.wheel.RPM xmap Steering.wheel.angle"
10,1,-1,11,"Steering.wheel.angle","Left.wheel.RPM",991,991,0.999844896895335,0.168636891666231,0.47938989611476,"Steering.wheel.angle xmap Left.wheel.RPM"
10,1,-1,11,"Right.wheel.RPM","Left.wheel.RPM",991,991,0.999850689273045,0.174210243961497,0.471402688857928,"Right.wheel.RPM xmap Left.wheel.RPM"
10,1,-1,11,"Steering.wheel.angle","Right.wheel.RPM",991,991,0.999844896895335,0.168636891666233,0.479389896114764,"Steering.wheel.angle xmap Right.wheel.RPM"
10,1,-1,11,"Left.wheel.RPM","Right.wheel.RPM",991,991,0.999850689273045,0.174210243961483,0.471402688857926,"Left.wheel.RPM xmap Right.wheel.RPM"
10,1,0,11,"Left.wheel.RPM","Steering.wheel.angle",991,991,0.999807905634765,1.20372087195213,2.98574257056148,"Left.wheel.RPM xmap Steering.wheel.angle"
10,1,0,11,"Right.wheel.RPM","Steering.wheel.angle",991,991,0.999807905634765,1.20372087195216,2.98574257056149,"Right.wheel.RPM xmap Steering.wheel.angle"
10,1,0,11,"Steering.wheel.angle","Left.wheel.RPM",991,991,0.999732164817649,0.217703656141239,0.629441271480103,"Steering.wheel.angle xmap Left.wheel.RPM"
10,1,0,11,"Right.wheel.RPM","Left.wheel.RPM",991,991,0.999739935499273,0.223768015909242,0.621024981394972,"Right.wheel.RPM xmap Left.wheel.RPM"
10,1,0,11,"Steering.wheel.angle","Right.wheel.RPM",991,991,0.999732164817649,0.217703656141241,0.629441271480106,"Steering.wheel.angle xmap Right.wheel.RPM"
10,1,0,11,"Left.wheel.RPM","Right.wheel.RPM",991,991,0.999739935499273,0.223768015909232,0.62102498139497,"Left.wheel.RPM xmap Right.wheel.RPM"
10,1,1,11,"Left.wheel.RPM","Steering.wheel.angle",990,990,0.999701106658902,1.4745416965143,3.71301664226215,"Left.wheel.RPM xmap Steering.wheel.angle"
10,1,1,11,"Right.wheel.RPM","Steering.wheel.angle",990,990,0.999701106658902,1.47454169651432,3.71301664226215,"Right.wheel.RPM xmap Steering.wheel.angle"
10,1,1,11,"Steering.wheel.angle","Left.wheel.RPM",990,990,0.999580820449189,0.273074911893525,0.787243857596059,"Steering.wheel.angle xmap Left.wheel.RPM"
10,1,1,11,"Right.wheel.RPM","Left.wheel.RPM",990,990,0.999590657567624,0.279607980480171,0.778488480085258,"Right.wheel.RPM xmap Left.wheel.RPM"
10,1,1,11,"Steering.wheel.angle","Right.wheel.RPM",990,990,0.999580820449189,0.27307491189353,0.787243857596063,"Steering.wheel.angle xmap Right.wheel.RPM"
10,1,1,11,"Left.wheel.RPM","Right.wheel.RPM",990,990,0.999590657567624,0.279607980480162,0.778488480085256,"Left.wheel.RPM xmap Right.wheel.RPM"
10,1,2,11,"Left.wheel.RPM","Steering.wheel.angle",989,989,0.999563188351159,1.77578058043364,4.4810402095717,"Left.wheel.RPM xmap Steering.wheel.angle"
10,1,2,11,"Right.wheel.RPM","Steering.wheel.angle",989,989,0.999563188351159,1.77578058043366,4.48104020957171,"Right.wheel.RPM xmap Steering.wheel.angle"
10,1,2,11,"Steering.wheel.angle","Left.wheel.RPM",989,989,0.999387027282926,0.334661495214216,0.951801468834432,"Steering.wheel.angle xmap Left.wheel.RPM"
10,1,2,11,"Right.wheel.RPM","Left.wheel.RPM",989,989,0.999398275645065,0.341627215012511,0.943339207421442,"Right.wheel.RPM xmap Left.wheel.RPM"
10,1,2,11,"Steering.wheel.angle","Right.wheel.RPM",989,989,0.999387027282926,0.33466149521422,0.951801468834435,"Steering.wheel.angle xmap Right.wheel.RPM"
10,1,2,11,"Left.wheel.RPM","Right.wheel.RPM",989,989,0.999398275645065,0.341627215012501,0.943339207421439,"Left.wheel.RPM xmap Right.wheel.RPM"
10,1,3,11,"Left.wheel.RPM","Steering.wheel.angle",988,988,0.999390406928577,2.10754739765443,5.28880672754249,"Left.wheel.RPM xmap Steering.wheel.angle"
10,1,3,11,"Right.wheel.RPM","Steering.wheel.angle",988,988,0.999390406928577,2.10754739765444,5.2888067275425,"Right.wheel.RPM xmap Steering.wheel.angle"
10,1,3,11,"Steering.wheel.angle","Left.wheel.RPM",988,988,0.99914571199725,0.402232810269447,1.12349918592911,"Steering.wheel.angle xmap Left.wheel.RPM"
10,1,3,11,"Right.wheel.RPM","Left.wheel.RPM",988,988,0.999158746532161,0.409761208031387,1.11497812010289,"Right.wheel.RPM xmap Left.wheel.RPM"
