"E","tau","tp","nn","num_pred","rho","mae","rmse","perc","p_val","const_pred_num_pred","const_pred_rho","const_pred_mae","const_pred_rmse","const_pred_perc","const_p_val"
10,1,0,11,325,0.999985246015231,0.00250126270012991,0.00389262503037157,1,0,325,1,0,0,1,0
10,1,1,11,324,0.999972647217165,0.00314317661834559,0.00528953895431499,1,0,324,0.99952955409262,0.0187449648626824,0.0229208920821983,0.993827160493827,0
10,1,2,11,323,0.999951334507078,0.0039280542266395,0.00704239966582228,1,0,323,0.998109570167084,0.0375309075876679,0.0458771222442719,0.987616099071207,0
10,1,3,11,322,0.999917679783522,0.00484168280020933,0.00913626333248401,1,0,322,0.995728476566565,0.0563440789341898,0.0688535060698772,0.981366459627329,0
10,1,4,11,321,0.999867305021039,0.0059007515276426,0.0115613582214464,0.996884735202492,0,321,0.992376590217154,0.0751715194730345,0.0918348430864474,0.975077881619938,0
10,1,5,11,320,0.999795075732707,0.00710265692622465,0.0143100279341151,0.996875,0,320,0.988046147353588,0.0939972813419484,0.114805931099142,0.96875,0
10,1,6,11,319,0.999695112581275,0.00845316518979648,0.0173749681706607,0.996865203761755,0,319,0.982731336334681,0.112812743742448,0.137751578881782,0.962382445141066,0
10,1,7,11,318,0.999560821530851,0.00994260284008574,0.0207482213099378,0.993710691823899,0,318,0.976428336012714,0.131593485393124,0.160656616853881,0.955974842767296,0
10,1,8,11,317,0.999384953518911,0.0115827163043653,0.0244205133538945,0.990536277602524,0,317,0.96913536313607,0.150343472445305,0.183505905725664,0.949526813880126,4.42869496818469e-297
10,1,9,11,316,0.999159724952983,0.0133482898702405,0.0283803307102539,0.990506329113924,0,316,0.960852732154305,0.169019954491459,0.206284343125316,0.943037974683544,6.07556518138655e-263
10,1,10,11,315,0.9988770538789,0.0152596379175923,0.0326124067810149,0.984126984126984,0,315,0.95158293054169,0.187651032207623,0.228976868262286,0.936507936507937,4.42079582385448e-234
