Time,Steering wheel angle,Left wheel RPM,Right wheel RPM
0,0.0,0.5,0.5
1,0.03777502024469315,0.5317044611988049,0.46829553880119457
2,0.07549331754664723,0.5624956106312383,0.4375043893687622
3,0.1130982832833356,0.5922740579091805,0.40772594209081897
4,0.1505335372194514,0.620960217326582,0.3790397826734175
5,0.18774304106810136,0.6484925571068777,0.3515074428931223
6,0.224671211294736,0.6748258170340131,0.32517418296598694
7,0.2612630309141335,0.6999292568175478,0.30007074318245225
8,0.2974641600330725,0.7237849783128245,0.2762150216871752
9,0.3332210448942574,0.7463863493128915,0.25361365068710856
10,0.3684810251805011,0.7677365446893173,0.2322634553106825
11,0.4031924393422297,0.7878472117013559,0.21215278829864445
12,0.4373047277159279,0.8067372598046526,0.19326274019534714
13,0.4707685332062712,0.8244317707862829,0.17556822921371734
14,0.5035357993103251,0.8409610221008382,0.15903897789916233
15,0.5355598652683426,0.8563596145168015,0.14364038548319874
16,0.566795558132341,0.870665694302989,0.1293343056970115
17,0.5971992815507674,0.8839202599513328,0.11607974004866743
18,0.6267291010751523,0.8961665436565651,0.10383345634343545
19,0.6553448258026959,0.907449458310603,0.09255054168939701
20,0.6830080861771899,0.917815101510054,0.08218489848994608
21,0.7096824077795614,0.9273103089369655,0.07268969106303473
22,0.735333280948574,0.9359822503951337,0.06401774960486604
23,0.7599282260818472,0.9438780627222022,0.05612193727779748
24,0.7834368544773276,0.9510445147191767,0.04895548528082304
25,0.8058309245856097,0.9575277001202569,0.04247229987974359
26,0.8270843935540979,0.9633727554503078,0.036627244549691934
27,0.8471734639548241,0.9686236003728884,0.03137639962711159
28,0.8660766255988372,0.9733226988102259,0.026677301189773812
29,0.8837746923513679,0.9775108397124028,0.02248916028759747
30,0.9002508338734667,0.9812269368630095,0.018773063136990693
31,0.9154906022274703,0.9845078475312972,0.015492152468703155
32,0.929481953295419,0.9873882101166495,0.012611789883350794
33,0.9422152629714671,0.989900301181918,0.010099698818081752
34,0.9536833381012741,0.9920739124409352,0.00792608755906447
35,0.9638814221534,0.9939362483571105,0.00606375164288905
36,0.9728071956197606,0.9955118450301359,0.004488154969864132
37,0.9804607711542528,0.9968225110035807,0.0031774889964187904
38,0.9868446834706315,0.9978872905254215,0.0021127094745787955
39,0.9919638740326893,0.9987224496450733,0.001277550354927229
40,0.9958256705816106,0.9993414853436308,0.0006585146563687458
41,0.9984397615571181,0.9997551576782414,0.00024484232175856375
42,0.9998181654805944,0.999971544686617,2.8455313382497884e-05
43,0.9999751953797802,0.9999961195530513,3.8804469491633724e-06
44,0.9989274183458472,0.9998318492918912,0.00016815070810904261
45,0.9966936103246289,0.9994793139666467,0.0005206860333533233
46,0.9932947062545159,0.9989368452401438,0.0010631547598556335
47,0.9887537456739675,0.9982006828497018,0.0017993171502990134
48,0.9830958139317469,0.99726514742643,0.0027348525735699626
49,0.976347979142798,0.9961228279331703,0.0038771720668297253
50,0.9685392250421605,0.9947647818837764,0.005235218116223621
51,0.9597003798984218,0.9931807464285551,0.006819253571444056
52,0.949864041656914,0.9913593583463239,0.00864064165367584
53,0.9390644994911592,0.9892883809712909,0.010711619028709063
54,0.9273376519489462,0.9869549361001384,0.01304506389986191
55,0.9147209218868315,0.9843457389675099,0.015654261032490423
56,0.9012531683938081,0.9814473344422978,0.018552665557701655
57,0.8869745959113875,0.9782463326774367,0.021753667322563588
58,0.871926660763267,0.974729642537056,0.02527035746294459
59,0.8561519753132782,0.9708847012212508,0.029115298778748955
60,0.8396942099752158,0.9666996986049142,0.03330030139508576
61,0.8225979933025827,0.9621637948980933,0.03783620510190669
62,0.8049088103901492,0.95726733031662,0.04273266968337992
63,0.7866728998225527,0.9520020255196893,0.04799797448031101
64,0.7679371494079179,0.9463611716228824,0.05363882837711762
65,0.7487489909366818,0.9403398086293412,0.05966019137065832
66,0.7291562942074556,0.9339348911379828,0.0660651088620164
67,0.7092072605627802,0.927145440186926,0.0728545598130737
68,0.6889503161781723,0.9199726800749843,0.08002731992501537
69,0.6684340053477318,0.9124201589780265,0.08757984102197379
70,0.6477068840089559,0.9044938521452505,0.09550614785474926
71,0.6268174137481766,0.8962022464293662,0.10379775357063356
72,0.6058138565262399,0.8875564048816651,0.11244359511833463
73,0.5847441703617331,0.8785700101361799,0.1214299898638201
74,0.5636559062061233,0.8692593853253516,0.13074061467464812
75,0.542596106241769,0.8596434913216396,0.14035650867836041
76,0.5216112038297669,0.8497438991938471,0.15025610080615318
77,0.500746925330094,0.839584736911322,0.16041526308867887
78,0.4800481940114998,0.8291926095298631,0.1708073904701367
79,0.4595590362630775,0.8185964923544611,0.18140350764553834
80,0.43932249031343495,0.8078275968975539,0.19217240310244615
81,0.4193805176569372,0.7969192098359071,0.2030807901640928
82,0.39977391737952717,0.7859065056094581,0.21409349439054248
83,0.3805422435693009,0.7748263337924944,0.22517366620750554
84,0.36172372598920455,0.7637169828885364,0.23628301711146382
85,0.34335519418105154,0.7526179227382603,0.24738207726173916
86,0.3254720051614892,0.7415695282646977,0.25843047173530237
87,0.3081079748616278,0.7306127877887283,0.2693872122112725
88,0.29129531345278736,0.7197889996063435,0.28021100039365704
89,0.27506456469124996,0.7091394609025402,0.29086053909745924
90,0.259444549405059,0.6987051533620932,0.30129484663790684
91,0.2444623132357624,0.6885264300046595,0.311473569995341
92,0.23014307873766038,0.6786427078057256,0.32135729219427495
93,0.21651020192653214,0.6690921705567215,0.33090782944327846
94,0.20358513335904127,0.6599114861660331,0.3400885138339668
95,0.19138738381311327,0.6511355422141946,0.3488644577858049
